0.275	0.035	1.7	0.3	42	7	53.5	9.5	0.77	0.07	NGC2146
0.02	0.01	1.3	0.3	4.8	2.6	282	65	0.02	0.01	NGC3628
0.65	0.02	0.6	0.1	106.5	3.5	5.5	0.5	19.4	4.7	M82
1.01	0.01	0.1	0.1	106.5	3.5	5.5	0.5	0.77	0.07	fake
