4	2	2000	200	200	20	15	5	340	34	300	30	25.5	8.5	22.8	2.3	1.12	0.47	15.7	1.57	NGC 2146	
4	0	1000	200	50	10	21	8	260	26	67	26	14.5	5.5	22.8	2.3	1.12	0.47	15.7	1.57	NGC 2146
4	0	700	300	35	10	24	15	39	3.9	5.15	2.75	2.5	1.5	22.8	2.3	1.12	0.47	15.7	1.57	NGC 2146
2	2	465	95	90	10	4.55	0.65	28	2.8	23	5	5.8	1.4	3.1	0.3	2.0	0.7	2.1	0.21	NGC 3628
0	2	1000	200	230	10	10	1	330	33	330	33	33	3.3	10.5	1.05	3.14	0.3	7.2	0.72	M 82
0	0	87.5	17.5	75	25	1.5	0.5	180	18	125	12.5	135	13.5	10.5	1.05	3.14	0.3	7.2	0.72	M 82
-2	0	63.5	12.5	50	5	0.5	0.05	1.3	0.13	2	0.2	8.8	0.88	8.8	0.88	1.0	0.1	0	0	NGC 253
-2	0	68	17	40	4	0.6	0.06	0.4	0.04	0.4	0.04	8.8	0.88	8.8	0.88	1.0	0.1	0	0	NGC 253
