4	2	2000	200	200	20	15	5	34	3.4	300	30	25.5	8.5	22.8	2.3	1.12	0.47	NGC 2146	
4	0	1000	200	50	10	21	8	26	2.6	67	26	14.5	5.5	22.8	2.3			NGC 2146
4	0	700	300	35	10	24	15	3.9	0.39	5.15	2.75	2.5	1.5	22.8	2.3			NGC 2146
2	2	465	95	90	10	5.05	1.75	2.8	0.28	23	5	6.25	2.15	3.1	0.3	2.0	0.7	NGC 3628
0	2	1000	200	230	10	10	1	33	3.3	330	33	33	3.3	10.5	1.05	3.14	0.3	M82
-2	0	0	0	0	0	0	0	0	0	0	0	8.8	0.88	8.8	0.88	1.0	0.1	NGC 253
