0.01 39.739085424 11.16
0.02 39.739085424 11.16
0.03 39.739085424 11.16
0.04 39.739085424 11.16
0.05 39.739085424 11.16
0.06 39.739085424 11.16
0.07 39.739085424 11.16
0.08 39.739085424 11.16
0.09 39.739085424 11.16
0.1 39.739085424 11.16
0.11 39.739085424 11.16
0.12 39.739085424 11.16
0.13 39.739085424 11.16
0.14 39.739085424 11.16
0.15 39.739085424 11.16
0.16 39.739085424 11.16
0.17 39.739085424 11.16
0.18 39.739085424 11.16
0.19 39.739085424 11.16
0.2 39.739085424 11.16
0.21 39.739085424 11.16
0.22 39.739085424 11.16
0.23 39.739085424 11.16
0.24 39.739085424 11.16
0.25 39.739085424 11.16
0.26 39.739085424 11.16
0.27 39.739085424 11.16
0.28 39.739085424 11.16
0.29 39.739085424 11.16
0.3 39.739085424 11.16
0.31 39.739085424 11.16
0.32 39.739085424 11.16
0.33 39.739085424 11.16
0.34 39.739085424 11.16
0.35 39.739085424 11.16
0.36 39.739085424 11.16
0.37 39.739085424 11.16
0.38 39.739085424 11.16
0.39 39.739085424 11.16
0.4 39.739085424 11.16
0.41 39.739085424 11.16
0.42 39.739085424 11.16
0.43 39.739085424 11.16
0.44 39.739085424 11.16
0.45 39.739085424 11.16
0.46 39.739085424 11.16
0.47 39.739085424 11.16
0.48 39.739085424 11.16
0.49 39.739085424 11.16
0.5 39.739085424 11.16
0.51 39.739085424 11.16
0.52 39.739085424 11.16
0.53 39.739085424 11.16
0.54 39.739085424 11.16
0.55 39.739085424 11.16
0.56 39.739085424 11.16
0.57 39.739085424 11.16
0.58 39.739085424 11.16
0.59 39.739085424 11.16
0.6 39.739085424 11.16
0.61 39.739085424 11.16
0.62 39.739085424 11.16
0.63 39.739085424 11.16
0.64 39.739085424 11.16
0.65 39.739085424 11.16
0.66 39.739085424 11.16
0.67 39.739085424 11.16
0.68 39.739085424 11.16
0.69 39.739085424 11.16
0.7 39.739085424 11.16
0.71 39.739085424 11.16
0.72 39.739085424 11.16
0.73 39.739085424 11.16
0.74 39.739085424 11.16
0.75 39.739085424 11.16
0.76 39.739085424 11.16
0.77 39.739085424 11.16
0.78 39.739085424 11.16
0.79 39.739085424 11.16
0.8 39.739085424 11.16
0.81 39.739085424 11.16
0.82 39.739085424 11.16
0.83 39.739085424 11.16
0.84 39.739085424 11.16
0.85 39.739085424 11.16
0.86 39.739085424 11.16
0.87 39.739085424 11.16
0.88 39.739085424 11.16
0.89 39.739085424 11.16
0.9 39.739085424 11.16
0.91 39.739085424 11.16
